p	 P(p)
0,000000	0,000000
0,010472	0,000000
0,020944	0,000000
0,031416	0,000000
0,038397	0,000000
0,048869	0,000000
0,059341	0,000000
0,069813	0,000000
0,080285	0,000000
0,090757	0,000000
0,101229	0,000000
0,111701	0,000000
0,118682	0,000000
0,129154	0,000000
0,139626	0,000000
0,150098	0,000000
0,160570	0,000000
0,171042	0,000000
0,181514	0,000000
0,188496	0,000000
0,198968	0,000000
0,209440	0,000000
0,219911	0,000000
0,230383	0,000000
0,240855	0,000000
0,251327	0,000000
0,258309	0,000000
0,268781	0,000000
0,279253	0,000000
0,289725	0,000000
0,300197	0,000000
0,310669	0,000000
0,321141	0,000000
0,331613	0,000000
0,338594	0,020000
0,349066	0,020000
0,359538	0,040000
0,370010	0,080000
0,380482	0,080000
0,390954	0,150000
0,401426	0,270000
0,408407	0,270000
0,418879	0,390000
0,429351	0,530000
0,439823	0,710000
0,450295	0,770000
0,460767	0,860000
0,471239	0,930000
0,481711	0,930000
0,488692	0,970000
0,499164	0,980000
0,509636	0,990000
0,520108	1,000000
0,530580	1,000000
0,541052	1,000000
0,551175	1,000000
0,557458	1,000000
0,566045	1,000000
0,571735	1,000000
0,573864	1,000000
0,572503	1,000000
0,573690	0,990000
0,574737	1,000000
0,573236	1,000000
0,576343	1,000000
0,572293	1,000000
0,577111	1,000000
0,573236	1,000000
0,573829	1,000000
0,576866	1,000000
0,574877	1,000000
0,574493	1,000000
0,573655	1,000000
0,576098	1,000000
0,577111	1,000000
0,573201	1,000000
0,575295	1,000000
0,576412	1,000000
0,574493	1,000000
0,576133	1,000000
0,577111	1,000000
0,576587	1,000000
0,576622	1,000000
0,576168	1,000000
0,575400	1,000000
0,577390	1,000000
0,575679	1,000000
0,575714	1,000000
0,575470	1,000000
0,577774	1,000000
0,576657	1,000000
0,577948	1,000000
0,577704	1,000000
0,574911	1,000000
0,578088	1,000000
0,577425	1,000000
0,575400	1,000000
0,578716	1,000000
0,575191	1,000000
0,577948	1,000000
0,576378	1,000000
