Концентрация	Вероятность
0,499976	0,000000
0,500948	0,000000
0,501697	0,000000
0,503397	0,000000
0,503918	0,000000
0,505026	0,000000
0,505551	0,000000
0,507119	0,000000
0,507894	0,000000
0,508937	0,000000
0,509393	0,000000
0,511215	0,000000
0,512256	0,000000
0,512637	0,000000
0,513823	0,000000
0,515056	0,000000
0,516025	0,000000
0,517017	0,000000
0,517721	0,000000
0,519110	0,000000
0,520214	0,000000
0,520876	0,000000
0,522071	0,000000
0,523118	0,000000
0,524457	0,000000
0,525158	0,000000
0,525932	0,000000
0,527097	0,000000
0,528396	0,000000
0,528821	0,000000
0,530300	0,000000
0,530705	0,000000
0,531809	0,000000
0,532652	0,000000
0,534356	0,000000
0,534955	0,000000
0,536221	0,000000
0,536797	0,000000
0,537878	0,000000
0,538796	0,000000
0,539861	0,000000
0,541134	0,000000
0,541896	0,000000
0,543260	0,000000
0,544189	0,000000
0,544993	0,000000
0,545840	0,000000
0,546792	0,000000
0,548222	0,000000
0,548979	0,000000
0,550322	0,000000
0,550920	0,000000
0,552054	0,000000
0,553113	0,000000
0,554415	0,000000
0,554916	0,000000
0,556113	0,000000
0,556618	0,000000
0,557932	0,000000
0,558835	0,000000
0,560604	0,010000
0,561305	0,000000
0,562088	0,000000
0,563035	0,000000
0,564375	0,000000
0,565276	0,040000
0,566050	0,000000
0,567216	0,000000
0,568089	0,010000
0,568887	0,020000
0,570055	0,020000
0,570711	0,030000
0,572192	0,000000
0,573103	0,050000
0,573649	0,070000
0,574901	0,090000
0,575546	0,020000
0,576962	0,060000
0,577845	0,100000
0,578613	0,160000
0,580227	0,140000
0,581217	0,210000
0,581985	0,190000
0,583543	0,280000
0,584164	0,290000
0,585390	0,400000
0,585983	0,340000
0,586952	0,430000
0,587716	0,470000
0,589085	0,520000
0,589991	0,580000
0,591101	0,660000
0,592013	0,610000
0,592897	0,680000
0,593586	0,700000
0,594850	0,760000
0,595800	0,790000
0,597108	0,840000
0,598127	0,870000
0,599101	0,880000
0,600248	0,910000
0,600581	0,860000
0,602182	0,900000
0,602645	0,970000
0,604289	0,950000
0,604899	0,970000
0,606001	0,960000
0,607251	0,990000
0,607799	1,000000
0,608744	0,990000
0,610252	1,000000
0,610798	1,000000
0,612057	1,000000
0,613213	0,990000
0,613758	1,000000
0,614644	1,000000
0,615837	1,000000
0,616686	0,990000
0,617554	1,000000
0,619224	1,000000
0,619749	1,000000
0,620735	1,000000
0,621986	1,000000
0,622974	1,000000
0,624241	1,000000
0,625018	1,000000
0,625906	1,000000
