Концентрация	Вероятность
0,818656	1,000000
0,818438	1,000000
0,820033	1,000000
0,820707	1,000000
0,822091	1,000000
0,822845	1,000000
0,823744	1,000000
0,824648	1,000000
0,826167	1,000000
0,827467	1,000000
0,827734	1,000000
0,828813	1,000000
0,829526	1,000000
0,831141	1,000000
0,831838	1,000000
0,833346	1,000000
0,833963	1,000000
0,835072	1,000000
0,835810	1,000000
0,837380	1,000000
0,837493	1,000000
0,839051	1,000000
0,840191	1,000000
0,841206	1,000000
0,841347	1,000000
0,842959	1,000000
0,843690	1,000000
0,844969	1,000000
0,845615	1,000000
0,847583	1,000000
0,848485	1,000000
0,849010	1,000000
0,850335	1,000000
0,850767	1,000000
0,851519	1,000000
0,852784	1,000000
0,854279	1,000000
0,854157	1,000000
0,856331	1,000000
0,857552	1,000000
0,858064	1,000000
0,859114	1,000000
0,860353	1,000000
0,860671	1,000000
0,862181	1,000000
0,863416	1,000000
0,863986	1,000000
0,864795	1,000000
0,865861	1,000000
0,866962	1,000000
0,867423	1,000000
0,869263	1,000000
0,869989	1,000000
0,870833	1,000000
0,872237	1,000000
0,872532	1,000000
0,873833	1,000000
0,874240	1,000000
0,876106	1,000000
0,877075	1,000000
0,878356	1,000000
0,878653	1,000000
0,879807	1,000000
0,880942	1,000000
0,882133	1,000000
0,882782	1,000000
0,883717	1,000000
0,884941	1,000000
0,886016	1,000000
0,887201	1,000000
0,888480	1,000000
0,888778	1,000000
0,890496	1,000000
0,890528	1,000000
0,891865	1,000000
0,892999	1,000000
0,894013	1,000000
0,894942	1,000000
0,895966	1,000000
0,896548	1,000000
0,898236	1,000000
0,898905	1,000000
0,899726	1,000000
0,901133	1,000000
0,902328	1,000000
0,902529	1,000000
0,903664	1,000000
0,905358	1,000000
0,905818	1,000000
0,906665	1,000000
0,908072	1,000000
0,908497	1,000000
0,909853	1,000000
0,910557	1,000000
0,912228	1,000000
0,912736	1,000000
0,913317	1,000000
0,915132	1,000000
0,915970	1,000000
0,916696	1,000000
0,917645	1,000000
0,919129	1,000000
0,920029	1,000000
0,921045	1,000000
0,922293	1,000000
0,923034	1,000000
0,923896	1,000000
0,924756	1,000000
0,926334	1,000000
0,927562	1,000000
