p	 S	 P
0,930975	0,080000	0,930775
0,935000	0,010000	0,934975
0,932575	0,040000	0,932475
0,932550	0,030000	0,932475
0,934525	0,010000	0,934500
0,936875	0,030000	0,936800
0,938325	0,000000	0,938325
0,936700	0,050000	0,936575
0,938650	0,030000	0,938550
0,939950	0,046667	0,939800
0,941000	0,030000	0,940925
0,941125	0,090000	0,940900
0,942700	0,020000	0,942650
0,945100	0,010000	0,945075
0,945175	0,050000	0,945025
0,944225	0,040000	0,944125
0,949525	0,030000	0,949450
0,948175	0,040000	0,948075
0,946550	0,088889	0,946250
0,950100	0,060000	0,949950
0,952050	0,010000	0,952025
0,950325	0,040000	0,950225
0,952800	0,040000	0,952700
0,955525	0,010000	0,955500
0,953850	0,026667	0,953750
0,956325	0,000000	0,956325
0,955925	0,010000	0,955900
0,958175	0,010000	0,958150
0,958325	0,040000	0,958225
0,958775	0,020000	0,958725
0,960275	0,000000	0,960275
0,960600	0,010000	0,960575
0,964200	0,000000	0,964200
0,962625	0,010000	0,962600
0,964175	0,020000	0,964125
0,964200	0,010000	0,964175
0,967200	0,000000	0,967200
0,968300	0,020000	0,968250
0,968975	0,000000	0,968975
0,969625	0,000000	0,969625
0,970550	0,000000	0,970550
0,972275	0,020000	0,972225
0,974300	0,000000	0,974300
0,973550	0,000000	0,973550
0,973075	0,030000	0,973000
0,977100	0,000000	0,977100
0,974875	0,000000	0,974875
0,979000	0,000000	0,979000
0,978000	0,020000	0,977950
0,979825	0,000000	0,979825
0,982400	0,000000	0,982400
0,981200	0,000000	0,981200
0,983750	0,000000	0,983750
0,984325	0,000000	0,984325
0,985050	0,000000	0,985050
0,985500	0,000000	0,985500
0,986350	0,000000	0,986350
0,987475	0,000000	0,987475
0,989675	0,000000	0,989675
0,989225	0,000000	0,989225
0,990925	0,000000	0,990925
0,992850	0,000000	0,992850
0,992800	0,000000	0,992800
0,993350	0,000000	0,993350
0,995250	0,000000	0,995250
0,996550	0,000000	0,996550
0,996900	0,000000	0,996900
0,997900	0,000000	0,997900
0,998825	0,000000	0,998825
1,000000	0,000000	1,000000
