p	 S	 P
0,212150	2,634678	0,000000
0,215750	2,595708	0,000000
0,213400	2,598207	0,000000
0,215250	2,669296	0,000000
0,213175	2,580166	0,000000
0,218575	2,800041	0,000000
0,219375	2,731868	0,000000
0,222850	2,735187	0,000000
0,223300	2,764885	0,000000
0,220350	2,673816	0,000000
0,227000	2,796806	0,000000
0,216000	2,700602	0,000000
0,221500	2,869710	0,000000
0,228075	2,814687	0,000000
0,225125	2,869614	0,000000
0,227700	2,833112	0,000000
0,226475	2,860503	0,000000
0,225325	2,747049	0,000000
0,228925	2,984270	0,000000
0,233150	2,971285	0,000000
0,232150	2,881827	0,000000
0,232525	2,873602	0,000000
0,232850	2,909514	0,000000
0,235100	3,042557	0,000000
0,238225	2,953060	0,000000
0,236325	2,998350	0,000000
0,238975	2,968693	0,000000
0,237075	2,974838	0,000000
0,240275	3,104592	0,000000
0,242975	3,161402	0,000000
0,244700	3,152067	0,000000
0,242325	2,973421	0,000000
0,241650	3,068912	0,000000
0,241075	3,069016	0,000000
0,249400	3,197454	0,000000
0,246975	3,217266	0,000000
0,249700	3,134854	0,000000
0,249650	3,153799	0,000000
0,248725	3,165463	0,000000
0,250275	3,347723	0,000000
0,254675	3,347225	0,000000
0,256775	3,320922	0,000000
0,254950	3,258321	0,000000
0,254550	3,251099	0,000000
0,256925	3,338327	0,000000
0,255450	3,432892	0,000000
0,259175	3,363271	0,000000
0,261825	3,503166	0,000000
0,258700	3,304838	0,000000
0,260550	3,244228	0,000000
0,263250	3,546600	0,000000
0,259950	3,485575	0,000000
0,266575	3,502656	0,000000
0,264900	3,453540	0,000000
0,264300	3,583656	0,000000
0,269425	3,730341	0,000000
0,267050	3,685364	0,000000
0,270500	3,655744	0,000000
0,269575	3,581381	0,000000
0,270675	3,480558	0,000000
0,268025	3,486605	0,000000
0,273775	3,659016	0,000000
0,275450	3,808265	0,000000
0,274800	3,666423	0,000000
0,279625	3,791787	0,000000
0,275825	3,642660	0,000000
0,276550	3,900040	0,000000
0,277825	3,768477	0,000000
0,281500	3,942198	0,000000
0,279725	3,971407	0,000000
0,284300	3,977776	0,000000
0,282500	4,065296	0,000000
0,285725	3,963801	0,000000
0,283825	3,919133	0,000000
0,283675	3,820018	0,000000
0,286500	4,068876	0,000000
0,287450	4,040132	0,000000
0,289125	4,022166	0,000000
0,291625	4,255142	0,000000
0,289375	3,908933	0,000000
0,292350	4,272077	0,000000
0,292100	4,177530	0,000000
0,295900	4,406781	0,000000
0,296675	4,362652	0,000000
0,296950	4,204635	0,000000
0,294375	4,360166	0,000000
0,297975	4,341623	0,000000
0,303300	4,485810	0,000000
0,297400	4,286929	0,000000
0,302000	4,438242	0,000000
0,302875	4,509905	0,000000
0,304300	4,558417	0,000000
0,302350	4,331278	0,000000
0,305600	4,533819	0,000000
0,304425	4,551139	0,000000
0,307575	4,618109	0,000000
0,304800	4,386608	0,000000
0,313975	4,611294	0,000000
0,309800	4,689043	0,000000
0,312275	4,680565	0,000000
0,311125	4,547883	0,000000
0,313500	4,736206	0,000000
0,313700	4,693799	0,000000
0,312900	4,903921	0,000000
0,317225	5,079964	0,000000
0,316250	5,038040	0,000000
0,317475	5,070954	0,000000
0,316575	5,031065	0,000000
0,316950	5,100044	0,000000
0,325050	4,870153	0,000000
0,320300	5,043383	0,000000
0,321975	5,043995	0,000000
0,321650	5,108414	0,000000
0,326150	5,343674	0,000000
0,325700	5,089470	0,000000
0,328475	5,344481	0,000000
0,326550	5,250640	0,000000
0,324150	5,289940	0,000000
0,329525	5,322278	0,000000
0,328775	5,345882	0,000000
0,331200	5,622944	0,000000
0,334925	5,470473	0,000000
0,334475	5,669935	0,000000
0,335300	5,678105	0,000000
0,334900	5,908295	0,000000
0,331200	5,355728	0,000000
0,341850	5,677854	0,000000
0,335250	5,462865	0,000000
0,339400	5,864213	0,000000
0,340225	5,648046	0,000000
0,341550	5,864773	0,000000
0,343500	6,122315	0,000000
0,345750	6,077098	0,000000
0,346000	6,135296	0,000000
0,347175	6,300979	0,000000
0,349550	6,202619	0,000000
0,347500	5,899034	0,000000
0,345525	5,881171	0,000000
0,353700	6,314633	0,000000
0,349750	6,381266	0,000000
0,353450	6,662931	0,000000
0,355725	6,283862	0,000000
0,352300	6,350812	0,000000
0,356250	6,434313	0,000000
0,357500	6,479888	0,000000
0,363700	6,629294	0,000000
0,359225	6,586030	0,000000
0,362025	7,106242	0,000000
0,360575	6,327247	0,000000
0,359675	6,646066	0,000000
0,365025	7,105591	0,000000
0,364050	7,312721	0,000000
0,361900	7,094164	0,000000
0,362600	6,957108	0,000000
0,362650	6,579147	0,000000
0,367325	7,370142	0,000000
0,368875	7,103735	0,000000
0,370975	7,494325	0,000000
0,373150	7,375177	0,000000
0,370525	7,069918	0,000000
0,372650	7,558476	0,000000
0,373275	7,712629	0,000000
0,374375	7,882096	0,000000
0,373850	7,222562	0,000000
0,373575	7,412378	0,000000
0,375150	7,483602	0,000000
0,377625	7,670448	0,000000
0,381600	8,363331	0,000000
0,384075	7,817060	0,000000
0,379825	7,523643	0,000000
0,383575	8,499821	0,000000
0,382175	8,488155	0,000000
0,391900	8,649521	0,000000
0,381475	7,530193	0,000000
0,388150	8,526647	0,000000
0,386925	8,718704	0,000000
0,387075	8,718206	0,000000
0,390075	8,289051	0,000000
0,391825	8,727843	0,001450
0,392500	8,627120	0,000000
0,391550	8,778936	0,000000
0,391350	8,892831	0,000000
0,392775	8,718076	0,000000
0,403900	9,696416	0,000000
0,396025	8,940182	0,000000
0,391175	8,983793	0,000000
0,402900	9,516797	0,000000
0,395025	9,285035	0,000000
0,399850	8,554479	0,000000
0,404750	9,581707	0,000000
0,398400	9,304546	0,000000
0,402250	9,587332	0,000000
0,404750	9,748117	0,000000
0,401500	9,372207	0,000000
0,405600	10,092096	0,000000
0,406050	9,993550	0,000000
0,407425	9,810223	0,002125
0,405900	9,810748	0,001525
0,413400	10,743401	0,002150
0,412950	10,800860	0,000000
0,411050	10,412152	0,000000
0,413275	10,427740	0,001075
0,412700	10,682840	0,001750
0,411250	10,255934	0,000000
0,417900	10,944443	0,000000
0,417375	11,186342	0,000000
0,416100	10,954416	0,000000
0,415875	10,260121	0,000000
0,419475	11,153268	0,000000
0,421900	11,417141	0,000000
0,418350	11,185465	0,000000
0,424475	11,072506	0,000000
0,423925	11,349917	0,000000
0,426000	11,553769	0,000000
0,429025	13,241744	0,001675
0,424125	11,286239	0,000000
0,428275	12,407783	0,000000
0,430175	12,318634	0,000000
0,433500	13,094821	0,001725
0,429400	12,078094	0,001625
0,435600	13,486143	0,002600
0,431875	12,572950	0,000000
0,434125	12,579708	0,000000
0,436325	13,085172	0,000000
0,435025	14,047729	0,000000
0,437125	12,918386	0,000000
0,437850	13,197506	0,000000
0,441875	13,818605	0,003100
0,440025	12,355461	0,000000
0,444550	14,389802	0,001800
0,443475	14,329577	0,001875
0,439850	13,528800	0,000950
0,448050	15,003249	0,000000
0,444850	14,676391	0,002000
0,447475	15,254120	0,002225
0,449100	15,422497	0,002250
0,451725	15,586342	0,000000
0,449725	15,804799	0,002175
0,450175	14,677428	0,002325
0,449825	16,495297	0,001325
0,453275	15,735097	0,005700
0,455000	16,299483	0,003450
0,455825	15,927608	0,003325
0,457025	15,751108	0,004175
0,461025	15,355330	0,003875
0,461400	16,140565	0,002125
0,455100	15,639411	0,000000
0,461275	16,018869	0,005550
0,464750	17,303036	0,001725
0,463625	16,909911	0,009050
0,458725	15,375799	0,005500
0,465600	17,605280	0,002400
0,461350	15,733651	0,012700
0,464250	17,021067	0,011325
0,464625	17,851584	0,006675
0,463825	16,800024	0,003600
0,474450	18,176978	0,012800
0,468575	18,664083	0,005725
0,471650	19,657186	0,006725
0,468650	17,751348	0,007075
0,477850	19,294127	0,009975
0,475750	19,193576	0,006700
0,474225	19,960510	0,005575
0,476150	19,248938	0,009425
0,481500	20,537957	0,018250
0,476350	19,419793	0,017950
0,479525	21,178110	0,004625
0,478950	20,733806	0,012700
0,477525	19,389422	0,014975
0,480475	19,583048	0,009700
0,479475	20,491577	0,007350
0,478975	20,113768	0,017250
0,484000	21,983641	0,010150
0,487775	21,845951	0,011075
0,483650	20,556229	0,008775
0,485625	21,681650	0,013275
0,487400	22,082598	0,009600
0,488975	21,850852	0,009500
0,492000	21,505807	0,013375
0,489925	20,563125	0,017900
0,492300	22,351433	0,018350
0,495075	24,261048	0,002850
0,493300	22,572744	0,014800
0,495350	23,147495	0,019050
0,501050	24,938120	0,016825
0,497750	23,187508	0,015875
0,497400	23,802770	0,016200
0,500550	22,969188	0,026875
0,497000	22,846723	0,016550
0,501775	25,367095	0,036575
0,503025	24,716637	0,020400
0,499725	23,868857	0,017450
0,505975	27,135673	0,022875
0,507600	26,838297	0,025950
0,506650	27,219956	0,018025
0,505225	24,215363	0,021475
0,502525	24,961409	0,029500
0,508750	25,268040	0,026300
0,512600	25,272965	0,031525
0,508000	26,712367	0,014150
0,512950	25,895699	0,045325
0,513150	25,920373	0,044275
0,513025	24,997374	0,038225
0,516850	28,474260	0,022800
0,514150	26,753381	0,035725
0,515425	28,899817	0,029475
0,518825	28,459026	0,047300
0,518350	27,797269	0,035175
0,518800	28,166214	0,043350
0,520725	28,718223	0,044325
0,525575	28,823841	0,049825
0,522775	27,497177	0,028000
0,526925	30,021892	0,058325
0,527375	28,516855	0,056600
0,524000	28,911633	0,047250
0,526750	28,986569	0,059050
0,524575	28,228347	0,043875
0,531775	27,667100	0,074325
0,527000	31,134376	0,045175
0,528550	30,515476	0,046725
0,531475	30,747398	0,048350
0,533425	28,340587	0,071225
0,539575	29,980951	0,087500
0,533025	32,789500	0,056175
0,537350	29,041470	0,081225
0,535000	29,998194	0,074775
0,536700	32,627842	0,064500
0,539225	29,828677	0,077525
0,538750	29,700882	0,098850
0,544375	29,494210	0,102725
0,541850	28,055944	0,094925
0,544850	34,365193	0,068725
0,544900	31,289064	0,094400
0,547400	30,052379	0,122900
0,542400	34,026461	0,083100
0,546275	31,526095	0,089900
0,551500	34,384959	0,107375
0,555000	35,237358	0,116075
0,545350	31,206460	0,084825
0,546850	31,549853	0,098450
0,552725	32,691983	0,115625
0,551375	31,284001	0,102000
0,550575	34,231359	0,102325
0,551475	33,237938	0,100275
0,557500	34,104939	0,118350
0,555350	32,833636	0,134400
0,556250	33,460920	0,118700
0,561425	35,946370	0,135600
0,561575	31,157091	0,164000
0,562200	31,558970	0,151725
0,565800	32,474402	0,154325
0,563000	35,123833	0,147175
0,563325	30,001607	0,181100
0,564150	29,307637	0,160050
0,566300	28,447799	0,192025
0,565000	33,030840	0,155950
0,566175	31,066848	0,178100
0,570375	37,117594	0,149025
0,570050	32,562235	0,166675
0,570125	32,400969	0,174325
0,574950	32,097066	0,200950
0,571350	32,254551	0,187425
0,574075	31,161124	0,191350
0,576475	32,389454	0,209350
0,580650	33,259752	0,207600
0,579725	27,905779	0,245900
0,576150	31,133130	0,216025
0,579400	30,654090	0,223550
0,578925	29,531768	0,209200
0,578675	32,633635	0,207800
0,581100	26,436020	0,242625
0,583600	28,269729	0,236125
0,584450	28,103277	0,252025
0,585075	34,226534	0,211800
0,585900	28,428223	0,266400
0,586075	30,903293	0,238250
0,586575	32,409707	0,240300
0,590225	32,276664	0,255700
0,587850	29,630117	0,254125
0,595775	33,847925	0,239125
0,592125	31,870842	0,246725
0,593600	36,052030	0,230375
0,590000	28,053138	0,263550
0,594000	28,397694	0,300925
0,595425	29,393828	0,296275
0,595725	27,875867	0,278075
0,596500	31,468640	0,272725
0,601550	29,162260	0,306750
0,596650	27,075938	0,300150
0,602675	24,161412	0,357875
0,602725	27,458620	0,321800
0,603675	27,106083	0,330875
0,603550	26,775177	0,325650
0,605625	29,967196	0,328450
0,605725	26,333772	0,334000
0,605450	27,310168	0,345875
0,607550	27,285677	0,333675
0,605475	29,238125	0,328725
0,610600	28,496453	0,337325
0,610500	26,248475	0,360300
0,615300	26,384954	0,359250
0,611425	23,503560	0,354275
